timestamp,city,weather,weather description,temperature,humidity,pressure,wind speed,wind direction,clouds
2026-06-06 16:33:50.332455,san francisco,Clouds,overcast clouds,62.01,60,1011,15.01,261,98
2026-06-06 16:33:51.487718,boston,Clouds,overcast clouds,84.69,52,1005,5.01,176,100
2026-06-06 16:33:52.652599,toronto,Clouds,few clouds,76.51,61,1007,8.99,258,23
2026-06-06 16:33:53.833847,mexico city,Rain,light rain,72.93,48,1008,3.58,153,100
2026-06-06 16:33:55.033379,london,Clouds,overcast clouds,57.27,82,1011,10,218,100
2026-06-06 16:33:56.223632,paris,Clouds,broken clouds,61.7,65,1018,5.01,0,65
2026-06-06 16:33:57.376251,rome,Clouds,overcast clouds,82.04,54,1017,5.06,178,100
2026-06-06 16:33:58.524695,tokyo,Clouds,overcast clouds,63.03,89,1019,5.84,52,100
2026-06-06 16:33:59.676413,st. louis,Clouds,overcast clouds,86.22,64,1011,1.99,280,98
2026-06-06 16:34:00.840895,beijing,Clear,clear sky,59.43,67,1013,1.52,356,0
2026-06-06 16:34:02.004570,shanghai,Clouds,scattered clouds,72.01,76,1008,1.86,38,48
2026-06-06 16:34:03.160553,chicago,Clouds,scattered clouds,78.91,68,1011,4,41,50
2026-06-06 16:34:04.335327,seoul,Clouds,overcast clouds,69.64,41,1010,5.48,58,100
2026-06-06 16:34:05.493487,berlin,Clouds,overcast clouds,61.05,81,1015,5.5,152,100
2026-06-06 16:34:06.658499,mumbai,Clouds,overcast clouds,87.57,67,1006,5.95,293,100
2026-06-06 16:34:07.826446,kansas city,Clouds,overcast clouds,81.05,76,1011,11.36,207,100
2026-06-06 16:34:08.991774,detroit,Clouds,few clouds,85.53,52,1009,1.99,269,11
2026-06-06 16:34:49.368960,paris,Clouds,broken clouds,61.7,65,1018,5.01,0,65
2026-06-06 16:36:49.358261,paris,Clouds,broken clouds,61.7,65,1018,5.01,0,65
2026-06-06 16:38:49.354634,paris,Clouds,broken clouds,62.13,66,1019,5.01,0,63
2026-06-06 16:40:49.351424,paris,Clouds,broken clouds,62.13,66,1019,5.01,0,63
2026-06-06 16:42:49.394265,paris,Clouds,broken clouds,62.13,66,1019,5.01,0,63
2026-06-06 16:44:49.358763,paris,Clouds,broken clouds,62.13,66,1019,5.01,0,63
2026-06-06 16:46:49.363880,paris,Clouds,broken clouds,62.13,66,1019,5.01,0,63
2026-06-06 16:48:49.364091,paris,Clouds,broken clouds,62.13,66,1019,5.01,0,63
2026-06-06 16:50:49.343509,paris,Clouds,broken clouds,62.13,66,1019,5.01,0,63
2026-06-06 16:52:49.348746,paris,Clouds,broken clouds,62.13,66,1019,5.01,0,63
2026-06-06 16:54:18.710963,new york,Clouds,scattered clouds,88.95,44,1007,21,271,39
2026-06-06 16:54:19.871837,los angeles,Clouds,overcast clouds,75.79,61,1010,9.28,206,94
2026-06-06 16:54:21.031454,san francisco,Clouds,overcast clouds,61.47,58,1011,23,281,98
2026-06-06 16:54:22.202475,boston,Clouds,overcast clouds,84.74,52,1005,8.01,132,99
2026-06-06 16:54:23.366419,toronto,Clouds,scattered clouds,76.8,61,1007,10,304,27
2026-06-06 16:54:24.534850,mexico city,Rain,light rain,65.95,68,1008,5.99,60,100
2026-06-06 16:54:25.697600,london,Clouds,overcast clouds,57.31,81,1012,8.99,287,100
2026-06-06 16:54:26.888962,paris,Clouds,broken clouds,61.77,66,1019,5.01,0,63
2026-06-06 16:54:28.029767,rome,Clouds,overcast clouds,82.49,51,1015,3.51,157,100
2026-06-06 16:54:29.199431,tokyo,Clouds,overcast clouds,63.36,89,1019,5.84,52,100
2026-06-06 16:54:30.363951,st. louis,Clouds,overcast clouds,85.87,65,1011,3,284,98
2026-06-06 16:54:31.525594,beijing,Clear,clear sky,59.43,67,1013,1.52,356,0
2026-06-06 16:54:32.704749,shanghai,Clouds,scattered clouds,72,76,1008,1.86,38,48
2026-06-06 16:54:33.860860,chicago,Clouds,broken clouds,78.84,68,1011,5.01,96,55
2026-06-06 16:54:35.029121,seoul,Clouds,overcast clouds,69.64,41,1010,5.48,58,100
2026-06-06 16:54:36.196544,berlin,Clouds,overcast clouds,63.19,70,1016,5.01,133,100
2026-06-06 16:54:37.348681,mumbai,Clouds,overcast clouds,87.39,66,1006,3.96,281,99
2026-06-06 16:54:38.549248,kansas city,Clouds,overcast clouds,80.92,73,1011,11.36,207,100
2026-06-06 16:54:39.716814,detroit,Clouds,few clouds,85.08,52,1009,4,269,16
2026-06-06 16:54:49.350355,paris,Clouds,broken clouds,61.77,66,1019,5.01,0,63
2026-06-06 16:56:49.343009,paris,Clouds,broken clouds,61.77,66,1019,5.01,0,63
2026-06-06 16:58:35.359519,paris,Clouds,broken clouds,61.77,66,1019,5.01,0,63
2026-06-06 16:59:49.348174,london,Clouds,overcast clouds,57.31,81,1012,8.99,297,100
2026-06-06 17:01:49.373519,london,Clouds,overcast clouds,57.31,81,1012,8.99,297,100
2026-06-06 17:03:49.359444,london,Clouds,overcast clouds,57.31,81,1012,8.99,297,100
2026-06-06 17:05:49.354847,london,Clouds,overcast clouds,57.31,81,1012,13,291,100
2026-06-06 17:07:49.371735,london,Clouds,overcast clouds,57.31,81,1012,13,300,100
2026-06-06 17:09:49.363020,london,Clouds,overcast clouds,57.31,81,1012,13,300,100
2026-06-06 17:11:49.370506,london,Clouds,overcast clouds,57.31,81,1012,13,300,100
2026-06-06 17:13:49.357141,london,Clouds,overcast clouds,57.31,81,1012,13,300,100
2026-06-06 17:14:48.489462,new york,Clouds,scattered clouds,87.87,46,1006,13,196,39
2026-06-06 17:14:49.696952,los angeles,Clouds,overcast clouds,75.02,62,1010,3,149,94
2026-06-06 17:14:50.836840,san francisco,Clouds,overcast clouds,61.57,59,1011,20,287,98
2026-06-06 17:14:52.003193,boston,Clouds,overcast clouds,84.38,52,1005,4,282,99
2026-06-06 17:14:53.156091,toronto,Clouds,scattered clouds,76.59,62,1007,8.99,277,27
2026-06-06 17:14:54.339687,mexico city,Rain,light rain,65.95,68,1008,5.99,60,100
2026-06-06 17:14:55.526427,london,Clouds,overcast clouds,57.31,81,1012,13,300,100
2026-06-06 17:14:56.695760,paris,Clouds,broken clouds,61.38,66,1019,5.01,0,63
